NBlades 2
Blade 0
	npoints 180
	nsections 20
	section 0
		xss rth_ss r xps rth_ps r
		0.000000 0.000000 0.199800 0.000000 0.000000 0.199800
		0.000004 0.000041 0.199800 0.000000 0.000000 0.199800
		0.000016 0.000134 0.199800 0.000003 -0.000041 0.199800
		0.000031 0.000227 0.199800 0.000008 -0.000085 0.199800
		0.000053 0.000338 0.199800 0.000013 -0.000125 0.199800
		0.000078 0.000446 0.199800 0.000021 -0.000167 0.199800
		0.000096 0.000520 0.199800 0.000030 -0.000214 0.199800
		0.000112 0.000577 0.199800 0.000043 -0.000272 0.199800
		0.000130 0.000636 0.199800 0.000058 -0.000329 0.199800
		0.000154 0.000702 0.199800 0.000071 -0.000374 0.199800
		0.000193 0.000800 0.199800 0.000080 -0.000408 0.199800
		0.000285 0.001010 0.199800 0.000089 -0.000437 0.199800
		0.000347 0.001143 0.199800 0.000097 -0.000461 0.199800
		0.000422 0.001293 0.199800 0.000107 -0.000486 0.199800
		0.000532 0.001496 0.199800 0.000117 -0.000511 0.199800
		0.000632 0.001668 0.199800 0.000129 -0.000537 0.199800
		0.000759 0.001874 0.199800 0.000143 -0.000565 0.199800
		0.000890 0.002075 0.199799 0.000162 -0.000600 0.199800
		0.001037 0.002285 0.199799 0.000186 -0.000644 0.199800
		0.001193 0.002497 0.199799 0.000228 -0.000710 0.199800
		0.001360 0.002711 0.199798 0.000285 -0.000798 0.199800
		0.001536 0.002924 0.199798 0.000321 -0.000853 0.199800
		0.001720 0.003135 0.199797 0.000356 -0.000902 0.199800
		0.001911 0.003342 0.199796 0.000397 -0.000956 0.199800
		0.002108 0.003544 0.199795 0.000453 -0.001026 0.199800
		0.002311 0.003742 0.199793 0.000538 -0.001126 0.199800
		0.002518 0.003932 0.199791 0.000612 -0.001209 0.199800
		0.002731 0.004118 0.199788 0.000687 -0.001290 0.199800
		0.002943 0.004293 0.199785 0.000797 -0.001401 0.199800
		0.003163 0.004466 0.199781 0.000922 -0.001523 0.199799
		0.003379 0.004625 0.199777 0.001055 -0.001646 0.199798
		0.003604 0.004782 0.199772 0.001239 -0.001809 0.199797
		0.003823 0.004926 0.199766 0.001444 -0.001983 0.199795
